id,season,stage,home_shoton,away_shoton,GAP_H_Shoton,GAP_A_Shoton,home_shotoff,away_shotoff,GAP_H_Shotoff,GAP_A_Shotoff,home_shot,away_shot,GAP_H_Shot,GAP_A_Shot,home_cross_sum,away_cross_sum,GAP_H_Cross,GAP_A_Cross,AVG_H_Shoton,AVG_A_Shoton,AVG_H_Shotoff,AVG_A_Shotoff,AVG_H_Shot,AVG_A_Shot,AVG_H_Cross,AVG_A_Cross,home_result,LR_h_shoton,LR_h_shotoff,LR_h_shot,LR_h_cross,LR_a_shoton,LR_a_shotoff,LR_a_shot,LR_a_cross,CB_POW_H,CB_MEN_H,CB_SKI_H,CB_MOV_H,CB_ATT_H,CB_DEF_H,CM_POW_H,CM_MEN_H,CM_SKI_H,CM_MOV_H,CM_ATT_H,CM_DEF_H,GK_POW_H,GK_MEN_H,GK_MOV_H,GK_GOK_H,ST_POW_H,ST_MEN_H,ST_SKI_H,ST_MOV_H,ST_ATT_H,ST_DEF_H,CB_POW_A,CB_MEN_A,CB_SKI_A,CB_MOV_A,CB_ATT_A,CB_DEF_A,CM_POW_A,CM_MEN_A,CM_SKI_A,CM_MOV_A,CM_ATT_A,CM_DEF_A,GK_POW_A,GK_MEN_A,GK_MOV_A,GK_GOK_A,ST_POW_A,ST_MEN_A,ST_SKI_A,ST_MOV_A,ST_ATT_A,ST_DEF_A,B365_home_win_Prob,p_home,home_odds_synth,kelly_fraction_home,kelly_index,kelly_group
3741,2013/2014,2,16,3,7.724822663251938,5.499130535398027,8,4,7.503034222227059,4.486029569133837,24,7,15.743990206373145,10.242619594480335,38,13,29.319900135626263,14.400254832665883,6.633802816901408,5.303030303030303,6.563380281690141,5.606060606060606,13.19718309859155,10.909090909090908,22.619718309859156,16.893939393939394,0,9.957492930327497,7.653600518027142,17.61109344835465,26.98881224496503,5.292924779064712,5.290120067233377,10.58304484629809,15.37876291970523,282.0,270.2,244.0,279.6,253.6,317.0,358.6,348.4,378.6,364.2,363.0,303.0,44.4,32.8,55.6,80.0,76.8,64.2,64.4,67.8,71.6,24.0,295.6,253.6,240.2,285.8,238.0,318.0,361.6,335.8,352.0,389.2,341.8,268.3333333333333,42.2,29.6,63.4,81.8,79.4,69.4,71.0,76.2,76.4,36.33333333333334,0.3893129770992367,0.100000426,2.568627450980392,-0.4737492926418782,-0.4737492926418782,medium
3742,2013/2014,2,7,8,4.117303179762232,8.140509781054552,7,6,3.211055312594086,5.196043524405883,14,14,7.154115772064063,13.784709052452449,27,23,15.483497047153953,22.97395679990074,4.805555555555555,7.298507462686567,5.666666666666667,6.91044776119403,10.472222222222221,14.208955223880597,17.36111111111111,24.253731343283583,0,5.733481785430635,6.623850693312113,12.35733247874275,26.8616671278718,6.09923495650484,4.136610736802226,10.23584569330707,19.64697448499398,271.4,258.0,219.0,255.8,232.6,306.3333333333333,361.0,344.2,356.8,353.0,354.6,287.6666666666666,42.4,27.4,43.0,79.2,71.4,64.2,78.2,65.2,84.4,25.0,254.0,248.2,237.4,270.8,242.0,294.3333333333334,348.2,325.8,353.0,380.6,342.2,234.0,42.4,31.6,56.6,82.0,76.0,70.0,82.8,75.6,84.8,25.33333333333333,0.149527200163269,0.008440318,6.68774643615408,-0.16589229294905827,-0.16589229294905827,medium
3743,2013/2014,2,1,6,5.283363417288566,4.546098970607871,5,8,7.152887041145011,4.55777814091109,6,14,12.261273021839852,9.138948942732378,15,25,26.081247955203157,20.330984947115915,5.2783999999999995,5.271428571428571,5.651200000000001,5.428571428571429,10.9296,10.7,18.8464,19.314285714285713,1,7.003838688868262,8.139752641023685,15.14359132989195,24.83804665966095,4.570998041863817,4.574480517763091,9.145478559626905,14.04091284979152,261.0,234.0,199.2,264.4,216.6,284.3333333333333,351.8,325.6,343.8,321.0,333.6,292.0,41.8,28.0,49.0,69.2,73.8,68.4,55.0,72.8,62.4,25.0,253.0,236.2,213.8,241.4,219.2,295.3333333333334,283.8,273.8,275.2,284.6,265.4,229.6666666666667,46.2,31.8,50.8,74.6,155.6,119.0,116.4,137.4,135.2,50.66666666666667,0.4549295774647887,0.8721381,2.198142414860681,0.7654212891901495,0.7654212891901495,easy
3744,2013/2014,2,7,6,5.860541524439027,5.693131651582139,6,3,7.252186300451758,7.316611097835378,13,9,13.090329750583637,13.169589622004487,24,14,25.88597979853958,19.384520119297374,6.360655737704918,5.943661971830986,6.442622950819672,5.732394366197183,12.80327868852459,11.67605633802817,23.39344262295082,17.87323943661972,0,6.514505231786715,6.595600469784506,13.11010570157123,22.5482247057523,6.584495924749796,5.511429196503236,12.09592512125305,20.08041661996888,250.6,249.0,230.0,272.2,235.0,329.6666666666667,294.0,287.2,327.0,320.8,298.2,214.6666666666667,42.8,39.0,53.0,73.4,156.2,134.2,151.0,156.8,153.8,50.33333333333333,272.4,241.6,213.4,262.6,230.2,299.0,308.8,277.8,264.8,282.6,271.6,229.6666666666667,51.4,33.4,51.8,77.6,140.4,126.6,129.0,144.4,129.2,81.0,0.8152173913043479,0.046707068,1.2266666666666666,-4.158996930674597,-4.158996930674597,hard
3745,2013/2014,2,3,3,5.666251837950596,7.013976825993071,15,5,6.76924734919755,6.408687625409659,18,8,12.443801210806928,12.680088793181922,29,28,20.437099199013357,22.597537620215036,5.651515151515151,6.816901408450704,5.909090909090909,7.52112676056338,11.56060606060606,14.338028169014084,17.62121212121212,21.802816901408452,0,6.328481965584962,7.951698761151016,14.28018072673598,24.86844209629692,3.895652379312639,4.278053993485517,8.173706372798154,16.5000230294401,273.0,257.0,237.2,273.0,238.8,306.0,304.8,283.6,278.6,301.0,281.0,266.3333333333333,43.6,32.8,53.0,78.2,148.6,127.2,115.8,138.4,140.0,57.66666666666667,286.8,272.8,251.2,262.0,263.2,335.3333333333334,356.4,352.8,400.4,402.0,378.6,225.3333333333333,36.2,28.2,56.2,81.6,77.0,66.4,73.0,75.0,79.6,25.0,0.1630716134598792,0.034913063,6.132275132275133,-0.1531296494080848,-0.1531296494080848,medium
3747,2013/2014,2,5,5,5.976197521078143,5.893574965539388,6,6,6.327664751140393,5.667379703081581,11,11,12.565538043296348,11.807393079863523,32,12,27.870127708630697,16.60533329625116,4.0,5.249599999999999,4.915492957746479,5.665600000000001,8.915492957746478,10.9152,22.985915492957748,18.731199999999998,1,5.280286209010283,7.763608918721126,13.04389512773141,27.15133283739265,4.590842015817158,5.429074435539158,10.01991645135631,15.97138287817727,257.4,244.2,219.6,242.6,226.0,304.0,360.6,336.0,341.4,354.0,338.0,258.0,41.8,30.6,56.4,80.4,64.6,65.6,63.2,56.4,74.2,25.0,251.6,231.4,212.6,267.8,215.8,304.0,368.0,331.6,343.8,374.2,326.6,273.0,47.6,30.2,47.6,73.6,78.6,70.4,70.8,61.8,72.2,26.33333333333333,0.2962962962962963,0.9201413,3.375,0.886516555359489,0.886516555359489,easy
3748,2013/2014,2,9,5,8.410253863907887,6.917597530408253,8,3,7.121887754514777,4.153638435530814,17,8,16.13690568690732,10.725783761409492,25,10,20.976853273784407,19.224426245479272,7.916666666666667,7.464788732394366,7.75,7.619718309859155,15.666666666666666,15.084507042253522,21.76388888888889,22.732394366197184,1,7.454445751099533,5.838767408459811,13.29321315955935,23.86114741104602,7.651155655420506,5.388850369928755,13.04000602534926,17.33960038678969,254.6,238.2,212.6,244.6,227.6,286.0,357.2,343.0,359.0,368.4,338.8,280.6666666666667,49.2,31.8,50.2,71.6,73.2,65.4,53.8,77.2,68.6,28.0,254.2,222.0,195.4,244.4,201.4,281.6666666666667,340.6,313.2,323.2,345.4,324.2,272.3333333333334,45.8,25.6,54.2,73.2,76.2,68.8,71.0,69.6,74.2,44.0,0.62874251497006,0.8430953,1.5904761904761904,0.5773696053412652,0.5773696053412652,medium
3849,2013/2014,3,6,8,5.797819980294299,8.737914575593178,6,8,4.509975577053665,6.502235142243581,12,16,10.04011592965718,15.769411269998226,10,23,23.06099223997194,19.880477705548735,7.3088235294117645,7.931506849315069,6.897058823529412,7.7534246575342465,14.205882352941176,15.684931506849315,24.235294117647058,21.80821917808219,1,7.837753582701556,9.107046901452634,16.94480048415418,31.21645441176062,3.651685343668771,4.09014719797864,7.741832541647411,13.84825795329579,266.2,236.8,217.0,252.2,216.2,302.3333333333333,271.8,266.6,285.4,285.0,274.0,206.0,45.0,33.2,45.6,72.4,143.6,136.6,138.8,132.8,138.4,110.0,272.2,242.2,211.4,239.0,227.0,295.3333333333333,348.4,329.4,327.8,362.0,298.0,275.6666666666667,45.6,31.2,51.8,77.6,81.8,68.2,61.6,69.8,73.6,26.66666666666667,0.4339106654512306,0.2706345,2.304621848739496,-0.2884282398243072,-0.2884282398243072,medium
3850,2013/2014,3,1,7,5.128393150386255,8.607151129959185,2,6,5.52397670801607,7.187566500423951,3,13,10.4059394967025,16.23200245396746,7,19,16.37765978163265,29.714339256411286,5.249599999999999,6.763888888888889,5.665600000000001,6.583333333333333,10.9152,13.347222222222221,18.6592,22.833333333333332,0,5.118376660139532,5.702840816925477,10.82121747706501,24.86526404062873,6.596690766731879,5.347989582142491,11.94468034887437,20.60806049441623,198.8,177.6,151.2,167.0,159.4,225.3333333333333,353.2,317.4,331.8,367.6,295.2,288.3333333333334,45.6,31.2,51.8,77.6,152.4,132.6,113.0,128.4,138.8,50.66666666666667,234.8,216.8,208.2,263.4,199.6,296.0,361.4,338.2,343.4,370.2,328.0,306.6666666666667,41.6,27.6,49.0,72.0,76.8,64.2,70.8,76.4,72.0,25.66666666666667,0.4883720930232558,0.03447755,2.047619047619048,-0.8871575326404786,-0.8871575326404786,hard
3851,2013/2014,3,5,3,7.703605769053316,5.1485572513934015,8,2,8.065270940836783,4.821446755657628,13,5,15.687128274654007,10.273644530214433,11,11,21.700499575100554,15.864199195593848,5.944444444444445,4.933333333333334,5.694444444444445,5.52,11.63888888888889,10.453333333333333,17.819444444444443,18.453333333333333,1,10.18339080910099,9.711052289440563,19.89444309854156,28.14471511741636,4.156006381760583,4.408924551343131,8.564930933103717,14.87942299753895,280.8,261.8,227.6,260.2,245.0,325.6666666666667,353.4,343.4,394.0,402.4,365.2,228.6666666666667,36.2,28.2,56.2,81.6,76.2,71.6,75.4,84.8,76.2,31.33333333333333,260.2,247.8,219.2,238.4,240.0,288.3333333333333,361.8,342.0,354.0,361.0,320.0,296.3333333333334,49.2,31.8,50.2,71.6,73.2,65.4,53.8,77.2,68.6,28.0,0.7561436672967865,0.9708152,1.3224999999999998,0.8803196212117986,0.8803196212117986,easy
